tenured,minority,age,evaluation,gender,students,beauty
1,0,51,4,Female,11,0.9005994
0,0,45,4.8,Male,17,-0.620769
1,0,57,3.5,Male,14,-0.8552412
0,0,47,3.6,Female,21,1.065906
1,1,54,3.8,Female,18,1.144253
0,0,58,4.7,Male,17,1.685985
1,0,42,4.9,Male,18,1.684802
0,0,33,4.3,Male,120,0.6362435
1,0,62,3.3,Male,38,-1.269975
0,1,35,3.4,Female,96,1.681103
1,0,61,3.6,Male,39,-0.6756103
1,0,52,4,Female,111,-0.0901815
0,0,60,3.9,Female,27,-0.1450257
0,0,32,4.3,Male,132,1.143045
0,1,42,3.3,Female,84,0.3320507
0,1,36,3.7,Female,125,0.2015666
0,1,36,3.6,Female,125,0.2015666
0,1,36,4.4,Female,123,0.2015666
1,0,59,4,Male,40,-0.8260813
1,0,59,2.1,Male,44,-0.8260813
1,0,51,3.2,Male,195,-0.6603327
1,0,40,3.5,Female,27,-0.7663125
1,0,40,4.1,Female,25,-0.7663125
1,0,40,4.6,Female,20,-0.7663125
1,0,40,3.8,Female,25,-0.7663125
1,0,40,3.8,Female,42,-0.7663125
1,0,40,3.8,Female,20,-0.7663125
1,0,40,4.2,Female,18,-0.7663125
0,0,31,3.9,Female,44,1.421445
0,0,31,4.5,Female,48,1.421445
0,0,31,4.5,Female,45,1.421445
0,0,31,4.4,Female,59,1.421445
0,0,31,4.4,Female,87,1.421445
1,0,62,4.4,Male,292,0.5002196
1,0,62,4.5,Male,130,0.5002196
1,0,62,4.3,Male,285,0.5002196
1,0,62,4.6,Male,272,0.5002196
1,0,62,4.8,Male,286,0.5002196
1,0,62,4.3,Male,302,0.5002196
0,0,33,4,Female,34,-0.2143501
0,0,33,4,Female,41,-0.2143501
0,0,33,3.9,Female,41,-0.2143501
0,0,33,3.3,Female,34,-0.2143501
1,0,51,4.5,Female,22,-0.346539
1,0,51,4.5,Female,21,-0.346539
1,0,51,4.5,Female,17,-0.346539
1,0,51,2.5,Female,30,-0.346539
1,0,51,4.3,Female,23,-0.346539
1,0,51,4.5,Female,20,-0.346539
0,0,33,4.7,Female,33,0.0613435
0,0,33,3.5,Female,44,0.0613435
0,0,33,4.5,Female,49,0.0613435
0,0,33,3.8,Female,29,0.0613435
0,0,33,4.5,Female,48,0.0613435
0,0,33,4.3,Female,40,0.0613435
0,0,47,3.9,Male,16,0.4525679
0,0,47,4.3,Male,15,0.4525679
0,0,47,4.2,Male,23,0.4525679
0,0,47,5,Male,11,0.4525679
0,0,47,5,Male,29,0.4525679
0,0,47,4.6,Male,21,0.4525679
0,0,47,5,Male,18,0.4525679
0,0,47,4.7,Male,19,0.4525679
0,0,47,5,Male,20,0.4525679
0,1,35,2.7,Male,33,0.1432643
0,1,35,4,Male,24,0.1432643
0,0,37,4.4,Male,21,-0.1550228
0,0,37,4.4,Male,30,-0.1550228
0,0,37,4.3,Male,25,-0.1550228
0,0,37,3.5,Male,35,-0.1550228
1,0,42,3.8,Male,30,0.1285433
1,0,42,3.9,Male,42,0.1285433
1,0,42,3.7,Male,57,0.1285433
1,0,42,3.3,Male,57,0.1285433
1,0,42,4,Male,51,0.1285433
1,0,42,3.8,Male,30,0.1285433
1,0,49,4.2,Male,37,-0.3470453
1,0,49,3.1,Male,29,-0.3470453
1,0,49,3.6,Male,27,-0.3470453
0,0,37,3.3,Female,52,0.4619388
0,0,37,2.9,Female,26,0.4619388
0,0,37,3.1,Female,30,0.4619388
1,0,45,4,Male,177,-0.1503849
1,0,45,4,Male,199,-0.1503849
1,0,45,4.2,Male,32,-0.1503849
1,0,45,3.8,Male,37,-0.1503849
1,0,45,4.3,Male,161,-0.1503849
0,0,56,4.6,Female,44,-1.070734
0,0,56,4.3,Female,53,-1.070734
0,0,56,3.6,Female,49,-1.070734
0,0,56,4.2,Female,32,-1.070734
0,0,48,3.9,Male,33,-0.1426931
0,0,48,4.1,Male,19,-0.1426931
0,0,48,4,Male,111,-0.1426931
0,0,48,4.3,Male,149,-0.1426931
0,0,48,3.9,Male,27,-0.1426931
0,0,48,4.2,Male,136,-0.1426931
0,0,48,4.2,Male,140,-0.1426931
1,0,46,4.9,Female,15,-0.1563634
1,0,46,4,Female,29,-0.1563634
1,0,46,4.3,Female,25,-0.1563634
1,0,46,4.9,Female,18,-0.1563634
1,0,46,3.9,Female,45,-0.1563634
1,0,46,4.9,Female,15,-0.1563634
1,0,46,3.9,Female,38,-0.1563634
1,0,46,4,Female,15,-0.1563634
0,0,57,3.5,Female,23,-0.0589354
0,0,57,3.9,Female,19,-0.0589354
0,0,57,4,Female,23,-0.0589354
0,0,57,3.6,Female,22,-0.0589354
0,0,57,3,Female,20,-0.0589354
0,0,57,3,Female,19,-0.0589354
0,0,57,3.6,Female,23,-0.0589354
0,0,57,3.6,Female,22,-0.0589354
0,0,57,3.2,Female,15,-0.0589354
0,0,52,3.9,Female,31,0.1511368
0,0,52,3.5,Female,21,0.1511368
0,0,52,3.5,Female,36,0.1511368
0,0,52,3.1,Female,19,0.1511368
0,0,52,4.2,Female,37,0.1511368
1,0,62,3.6,Male,184,-0.8214405
1,0,62,4.5,Male,50,-0.8214405
1,0,62,3.7,Male,157,-0.8214405
1,0,62,3.4,Male,164,-0.8214405
1,0,64,4.5,Male,68,-0.1994712
1,0,64,4.6,Male,47,-0.1994712
1,0,64,4.8,Male,14,-0.1994712
1,0,64,4.5,Male,15,-0.1994712
1,0,64,4.4,Male,24,-0.1994712
1,0,64,4.1,Male,39,-0.1994712
0,0,34,3.9,Female,40,1.687167
1,0,58,4.3,Male,151,-0.4101976
1,0,58,3.5,Male,47,-0.4101976
1,0,58,4,Male,122,-0.4101976
1,0,58,4,Male,45,-0.4101976
1,1,52,4.6,Male,23,0.1233448
1,1,52,4.6,Male,16,0.1233448
1,1,52,3.7,Male,18,0.1233448
1,1,52,3.5,Male,16,0.1233448
1,1,52,3.6,Male,15,0.1233448
1,1,52,3.9,Male,28,0.1233448
1,0,73,4.2,Male,13,-0.8059942
1,0,73,3.2,Male,21,-0.8059942
1,0,73,4.9,Male,17,-0.8059942
1,0,70,4,Male,48,-0.8210418
1,0,70,3.5,Male,64,-0.8210418
1,0,70,3.4,Male,69,-0.8210418
0,0,63,4.2,Male,14,-0.0985568
0,0,63,3.5,Male,15,-0.0985568
0,0,63,4.4,Male,18,-0.0985568
0,0,63,3.7,Male,16,-0.0985568
0,0,63,3.4,Male,10,-0.0985568
0,0,63,3,Male,47,-0.0985568
1,0,47,3.9,Male,14,-1.012306
1,0,47,2.8,Male,12,-1.012306
1,0,39,3.7,Male,316,0.4883314
1,0,39,4.6,Male,15,0.4883314
1,0,39,4.2,Male,15,0.4883314
1,0,39,4.4,Male,29,0.4883314
0,1,47,3.8,Female,8,-0.1719505
0,1,47,4.1,Female,16,-0.1719505
0,1,47,3.7,Female,26,-0.1719505
0,1,47,4.1,Female,10,-0.1719505
0,1,47,3,Female,26,-0.1719505
0,1,47,3.2,Female,26,-0.1719505
0,1,47,2.8,Female,26,-0.1719505
0,1,47,4.7,Female,21,-0.1719505
0,1,47,4.2,Female,12,-0.1719505
0,1,47,3.2,Female,27,-0.1719505
0,1,47,3.1,Female,27,-0.1719505
0,1,47,4,Female,25,-0.1719505
1,0,54,4.2,Male,15,-1.167907
1,0,54,4.3,Male,17,-1.167907
1,1,44,3.3,Female,48,0.9525534
1,1,44,4.1,Female,21,0.9525534
1,1,44,3.7,Female,39,0.9525534
1,1,47,3.3,Male,14,-1.140457
1,1,47,3.8,Male,26,-1.140457
1,1,47,3.4,Male,16,-1.140457
1,1,47,4.2,Male,16,-1.140457
1,1,47,3.8,Male,13,-1.140457
1,1,47,3.5,Male,14,-1.140457
1,1,47,3.3,Male,17,-1.140457
1,0,62,4.3,Male,15,-0.8161172
1,0,62,4.1,Male,10,-0.8161172
1,0,60,4.5,Male,16,-0.4837456
1,0,60,4.5,Male,14,-0.4837456
1,0,60,4.6,Male,12,-0.4837456
1,0,60,4.4,Male,39,-0.4837456
1,0,60,4.1,Male,35,-0.4837456
1,0,60,4.5,Male,45,-0.4837456
1,0,60,4.3,Male,45,-0.4837456
0,0,42,4.4,Male,14,-0.3261277
0,0,42,4.9,Male,14,-0.3261277
0,0,42,4.7,Male,12,-0.3261277
0,0,42,4.6,Male,15,-0.3261277
1,0,35,4.8,Male,23,0.1865589
1,0,35,4.2,Male,57,0.1865589
1,0,35,4.6,Male,50,0.1865589
0,0,39,4.7,Female,23,1.881674
0,0,39,4.6,Female,23,1.881674
0,0,39,3.6,Female,28,1.881674
1,0,49,3.9,Male,42,0.9626006
1,0,49,4,Male,57,0.9626006
1,0,61,4.4,Male,38,0.1534694
1,0,61,4.5,Male,22,0.1534694
1,0,61,4.4,Male,43,0.1534694
0,0,33,3,Male,13,1.261046
0,0,33,3.7,Male,15,1.261046
1,0,56,3.6,Female,20,-0.3460746
1,0,56,3.1,Female,23,-0.3460746
0,0,50,3.8,Female,32,-0.744618
0,0,50,4.7,Female,21,-0.744618
0,0,50,3.8,Female,24,-0.744618
0,0,50,3.8,Female,21,-0.744618
0,0,50,2.8,Female,28,-0.744618
0,0,50,4,Female,29,-0.744618
1,0,52,4,Male,89,-0.7447439
1,0,52,3.5,Male,82,-0.7447439
1,0,52,3.4,Male,122,-0.7447439
1,0,52,4,Male,131,-0.7447439
1,0,52,3.5,Male,114,-0.7447439
1,0,52,3.8,Male,149,-0.7447439
1,0,52,4.7,Male,23,-0.7447439
1,0,52,3.9,Male,98,-0.7447439
1,0,52,4.5,Male,27,-0.7447439
1,0,52,4.2,Male,30,-0.7447439
1,0,52,4.7,Male,30,-0.7447439
1,0,52,4,Male,69,-0.7447439
0,0,33,4.8,Female,10,0.6361284
0,0,33,4.8,Female,11,0.6361284
0,0,33,4.4,Female,14,0.6361284
0,0,33,4.7,Female,11,0.6361284
0,0,33,4.5,Female,14,0.6361284
1,0,57,4.2,Male,41,0.5434852
1,0,57,4.4,Male,88,0.5434852
1,0,57,4.1,Male,78,0.5434852
1,0,38,4.2,Female,157,0.9825948
1,0,38,4.8,Female,68,0.9825948
1,0,38,4.4,Female,67,0.9825948
1,0,38,4.7,Female,80,0.9825948
1,0,38,4.2,Female,137,0.9825948
1,0,38,4.5,Female,69,0.9825948
0,0,34,3.4,Female,80,-1.538843
0,0,34,3.7,Female,90,-1.538843
0,0,34,3.6,Female,34,-1.538843
0,0,34,3.9,Female,73,-1.538843
0,0,34,3.9,Female,44,-1.538843
0,0,34,3.7,Male,20,1.067531
0,0,34,3,Male,35,1.067531
0,0,32,3.6,Male,168,-0.4143639
0,0,32,3.6,Male,247,-0.4143639
0,0,32,4.3,Male,22,-0.4143639
0,0,32,4.5,Male,103,-0.4143639
1,0,42,3.9,Female,82,0.7962944
1,0,43,4.6,Female,35,-0.6466943
1,0,43,4.1,Female,34,-0.6466943
1,0,43,4.2,Female,37,-0.6466943
1,0,43,4.1,Female,14,-0.6466943
1,0,43,3.1,Female,266,-0.6466943
1,0,43,3.6,Female,254,-0.6466943
1,0,43,4.2,Female,13,-0.6466943
1,0,43,3,Female,282,-0.6466943
1,0,43,4.2,Female,17,-0.6466943
0,0,35,3.4,Male,42,-0.4299034
1,0,62,3.1,Female,16,-0.5924066
1,0,62,2.7,Female,19,-0.5924066
1,0,52,3.9,Female,98,0.6851749
1,0,52,3.9,Female,65,0.9755885
1,0,52,3.6,Female,63,0.9755885
0,0,52,3.7,Female,43,-1.178738
0,0,52,3.6,Female,80,-1.178738
0,0,52,4.4,Female,52,-1.178738
0,0,52,4.3,Female,48,-1.178738
0,0,52,4.1,Female,66,-1.178738
0,0,52,3.7,Female,100,-1.178738
1,0,64,3.6,Male,16,-1.157511
1,0,64,2.8,Male,22,-1.157511
1,0,64,4,Male,11,-1.157511
1,0,64,4.4,Male,10,-1.157511
1,0,64,3.6,Male,16,-1.157511
1,0,50,3.7,Male,10,1.327346
1,0,60,2.9,Male,10,-1.511268
1,0,60,2.6,Male,16,-1.511268
0,0,43,4.8,Male,28,-0.5783117
0,0,43,4.9,Male,30,-0.5783117
0,0,43,4.3,Male,15,-0.5783117
0,0,43,4.4,Male,13,-0.5783117
0,0,43,4.3,Male,18,-0.5783117
0,0,43,4.7,Male,26,-0.5783117
0,0,43,4.3,Male,30,-0.5783117
0,0,43,4.6,Male,14,-0.5783117
0,1,50,4.9,Male,22,-0.671936
0,1,50,4.8,Male,25,-0.671936
0,1,50,4.7,Male,26,-0.671936
0,1,50,4.8,Male,22,-0.671936
0,1,50,4.9,Male,26,-0.671936
0,1,50,4.8,Male,20,-0.671936
0,1,50,4.8,Male,22,-0.671936
0,1,50,5,Male,21,-0.671936
0,1,50,4.5,Male,21,-0.671936
1,0,52,3.8,Male,65,0.6683338
1,0,52,3.8,Male,62,0.6683338
1,0,52,3.8,Male,67,0.6683338
1,0,52,4,Male,40,0.6683338
1,0,52,4.2,Male,45,0.6683338
1,0,51,4.5,Male,579,0.7924695
1,0,51,4.5,Male,537,0.7924695
1,0,51,4.6,Male,581,0.7924695
1,0,51,4.7,Male,527,0.7924695
1,0,38,4.1,Male,84,-0.6548505
1,0,38,3.6,Male,79,-0.6548505
1,0,38,4,Male,92,-0.6548505
1,0,47,3.4,Female,67,0.2510546
1,1,43,2.8,Female,190,-0.2397178
0,0,38,4.1,Female,60,-1.113346
0,0,38,3.5,Female,64,-1.113346
0,0,38,3.4,Female,31,-1.113346
0,0,38,4.1,Female,62,-1.113346
0,0,38,4.2,Female,37,-1.113346
1,0,43,4.3,Male,13,-0.1135935
1,0,43,4.1,Male,15,-0.1135935
1,0,43,3.4,Male,79,-0.1135935
1,0,57,3.5,Male,98,-0.8351366
1,0,57,3.6,Male,97,-0.8351366
1,0,51,3.7,Female,78,0.9005994
1,0,51,3,Female,56,0.9005994
1,0,51,4.6,Female,20,0.9005994
0,0,45,4,Male,20,-0.620769
0,0,45,4.8,Male,19,-0.620769
0,0,45,4.6,Male,26,-0.620769
1,0,57,3.4,Male,18,-0.8552412
1,0,57,4.4,Male,12,-0.8552412
1,0,57,3.6,Male,19,-0.8552412
1,0,57,3.8,Male,16,-0.8552412
1,0,57,3.7,Male,16,-0.8552412
1,0,57,4.7,Male,12,-0.8552412
1,0,57,4.5,Male,17,-0.8552412
1,0,57,5,Male,15,-0.8552412
1,0,57,3.8,Male,16,-0.8552412
1,0,57,4.1,Male,17,-0.8552412
0,0,47,4.3,Female,17,1.065906
0,0,47,4.4,Female,10,1.065906
0,0,47,4.7,Female,17,1.065906
0,0,47,3.9,Female,17,1.065906
1,1,54,4.8,Female,16,1.144253
1,1,54,4.3,Female,26,1.144253
1,1,54,4.6,Female,18,1.144253
1,1,54,3.8,Female,20,1.144253
0,0,58,5,Male,21,1.685985
0,0,58,4.9,Male,21,1.685985
0,0,58,4.6,Male,20,1.685985
0,0,58,4.6,Male,20,1.685985
0,0,58,5,Male,13,1.685985
0,0,58,4.6,Male,16,1.685985
0,0,58,4.9,Male,17,1.685985
1,0,42,4,Male,24,1.684802
1,0,42,3.9,Male,20,1.684802
0,0,33,4.1,Male,155,0.6362435
1,0,62,2.9,Male,70,-1.269975
1,0,62,2.8,Male,149,-1.269975
1,0,62,2.8,Male,137,-1.269975
1,0,62,4,Male,29,-1.269975
1,0,62,3.3,Male,55,-1.269975
1,0,62,3,Male,136,-1.269975
0,1,35,3.6,Female,60,1.681103
0,1,35,3.8,Female,108,1.681103
1,0,61,3.9,Male,15,-0.6756103
1,0,52,4.7,Female,17,-0.0901815
1,0,52,4.7,Female,19,-0.0901815
0,0,60,3.9,Female,19,-0.1450257
0,0,60,4.4,Female,13,-0.1450257
0,0,60,3.6,Female,19,-0.1450257
0,0,60,4.2,Female,22,-0.1450257
0,0,60,3.4,Female,20,-0.1450257
0,0,60,4,Female,27,-0.1450257
0,0,32,4.2,Male,127,1.143045
0,0,32,4.4,Male,85,1.143045
0,0,32,4.5,Male,101,1.143045
0,0,32,3.2,Male,21,1.143045
0,0,32,4.3,Male,86,1.143045
0,1,42,3.3,Female,67,0.3320507
0,1,42,3.2,Female,66,0.3320507
0,1,42,4.1,Female,35,0.3320507
